sample_id,group,combination,clean_id,prediction_png,prediction_sha256,target_png,target_sha256,psnr,ssim,latency_ms,program_levels,parallel_levels,active_skill_calls,reentry_requests,unexpected_activations,precycle_graphs,dropped_edges,peak_reserved_fraction
test/A/dark + noise/003,A,dark+noise,003,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/dark+noise/003.png,61daef4631409f1c84cefa034c0fc84790f4fb1483d6b3761f79899237dc6bf4,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/003.png,c2a2513992db412a7160dfa2f82535dccaa188db91df80ee6ed5b0dd5c5d2d1a,26.819034576416016,0.808720542557891,2774.6047526597977,2,0,2,1,0,0,0,0.09372478720727218
test/A/dark + noise/004,A,dark+noise,004,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/dark+noise/004.png,7218ff585e3d54ff231f2b397f4117ddf5a210027eb9923ecf17d9d9128829ae,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/004.png,f1ad3f60cd8e680739263535ab1620a2490f3bc0c65a9355a965c7dff9be1fed,27.190082550048828,0.857981180711955,1543.6629503965378,2,0,2,1,0,0,0,0.1028565202389816
test/A/dark + noise/005,A,dark+noise,005,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/dark+noise/005.png,86e30027a6dfc976fd6fcfe7a7687494d3cf83166a4920cc87785e627cb25419,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/005.png,1d8eb1ef9c1817c087956135efa85be686e7169ef11eb532c768d32d7267a0ff,27.40971565246582,0.901414280749558,1452.934853732586,2,0,2,1,0,0,0,0.1028565202389816
test/A/dark + noise/006,A,dark+noise,006,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/dark+noise/006.png,babcabb8c555168a07b14288b266c02d723a53cb3320ca0dfc73c232790979f4,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/006.png,f62feddd2f379d039dd1effe18b6368c79a6fe31fb8177f797c9f230eb8e1211,29.034231185913086,0.8985423455877178,1263.1763219833374,2,0,2,1,0,0,0,0.1028565202389816
test/A/dark + noise/007,A,dark+noise,007,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/dark+noise/007.png,9b03fb4a56fab634d1dcb5408281e315fef34741220b4e2039eef93a0ef84c8f,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/007.png,b876f087d5f42a9350f28383ff2df22156b6bbba702809d134b7713d9430881c,26.452951431274414,0.8203258525315021,1231.9490686058998,2,0,2,0,0,0,0,0.1028565202389816
test/A/dark + noise/008,A,dark+noise,008,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/dark+noise/008.png,2b3cc8d724be3da20b3708a0f01783a7266926b8278ed5fe8fef0292f620f2f9,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/008.png,4efb8dbbd2ba5090b7b951a456ec5ed27a5d61360ab95cb1c5a9366f2868cb94,29.93198013305664,0.8984482552733833,1653.027929365635,2,0,2,0,0,0,0,0.10709032373550142
test/A/dark + noise/009,A,dark+noise,009,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/dark+noise/009.png,3dbd4b43c08a17f0521101d3230bbf2ad55df6b1140d1a3903434b7fe6bd808b,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/009.png,5b779ac0fbe5d1e4d4126fd2864493dcc2ecdbde374ede7e29a054b2a9cb4f21,31.786832809448242,0.9359706188677742,1759.090632200241,2,0,2,1,0,0,0,0.11041095392885031
test/A/dark + noise/010,A,dark+noise,010,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/dark+noise/010.png,8d5f1b143030bd9b34aecf64f3571f174eb80efb2fa025d52545243713015bb1,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/010.png,327492996d853f5c8873b435f98a91afd07db64567545baa61c9f4f64f717a0d,25.390596389770508,0.9279042721981964,1807.8107684850693,2,0,2,0,0,0,0,0.11705221431554808
test/A/dark + noise/013,A,dark+noise,013,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/dark+noise/013.png,70e6df608a8f4f3454a73f8fcfde68b325a0cfd2770dbfd889fe038b3ccefded,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/013.png,afe18305499bd0b8318392e8f34ede33aafb5a0df2371075fe9f30a1c81a75eb,23.07248306274414,0.7432428299594672,568.70286911726,2,0,2,0,0,0,0,0.11705221431554808
test/A/dark + noise/014,A,dark+noise,014,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/dark+noise/014.png,f1480bc6ffa2fa00fb3fca0b11000309c163d6242f1225bd34f1e05a1f7b1407,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/014.png,2d569d9b923a96b1542c0b845dce0c7657794eba9f6f22ae5d02f335ef1bc4a0,20.370880126953125,0.8245648182485116,564.0633553266525,2,0,2,1,0,0,0,0.11705221431554808
